,load,var,mm_sig,mm_session,mm_feedback,mm_interaction,rm_sig,rm_session,rm_loading,rm_interaction,spher,spher_p,norm_res
69,NL FB,T,SESSION ONLY,"F(7,35) = 5.518,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",SESSION ONLY,"F(7,35) = 5.518,\ p=0.0",,,PASS,1.0,Highly normal
70,NL FB,T_l,SESSION ONLY,"F(7,35) = 4.393,\ p=0.001","F(0,5) = inf,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 4.393,\ p=0.001",,,PASS,1.0,Normal
71,NL FB,T_h,SESSION ONLY,"F(7,35) = 3.118,\ p=0.012","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 3.118,\ p=0.012",,,PASS,1.0,Perfectly normal
72,NL FB,F,NONE,"F(7,35) = 2.002,\ p=0.083","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",NONE,"F(7,35) = 2.002,\ p=0.164",,,FAIL,0.004663104492763977,Perfectly normal
73,NL FB,F_l,NONE,"F(7,35) = 2.459,\ p=0.037","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",NONE,"F(7,35) = 2.459,\ p=0.105",,,FAIL,0.0068429930066249275,Perfectly normal
74,NL FB,F_h,NONE,"F(7,35) = 1.624,\ p=0.161","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",NONE,"F(7,35) = 1.624,\ p=0.238",,,FAIL,0.0007641316709934148,Perfectly normal
75,NL FB,grasps,SESSION ONLY,"F(7,35) = 6.094,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",SESSION ONLY,"F(7,35) = 6.094,\ p=0.0",,,PASS,1.0873803334590013,Highly normal
76,NL FB,crushes,SESSION ONLY,"F(7,35) = 2.963,\ p=0.015","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",SESSION ONLY,"F(7,35) = 2.963,\ p=0.015",,,PASS,1.1749892304303575,False
77,NL FB,drops,SESSION ONLY,"F(7,35) = 2.096,\ p=0.07","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 2.096,\ p=0.07",,,PASS,1.0001288353027888,False
78,NL FB,Mental Demand,SESSION ONLY,"F(7,35) = 5.824,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",SESSION ONLY,"F(7,35) = 5.824,\ p=0.0",,,PASS,1.0136368558625497,Highly normal
79,NL FB,Physical Demand,SESSION ONLY,"F(7,35) = 8.238,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 8.238,\ p=0.0",,,PASS,1.1792671406549942,Perfectly normal
80,NL FB,Temporal Demand,SESSION ONLY,"F(7,35) = 4.331,\ p=0.002","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 4.331,\ p=0.002",,,PASS,1.0010153380278883,Highly normal
81,NL FB,Performance,SESSION ONLY,"F(7,35) = 2.618,\ p=0.028","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 2.618,\ p=0.028",,,PASS,1.0268159995191521,Perfectly normal
82,NL FB,Effort,SESSION ONLY,"F(7,35) = 7.245,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 7.245,\ p=0.0",,,PASS,1.0105843543080497,Perfectly normal
83,NL FB,Frustration Level,SESSION ONLY,"F(7,35) = 5.751,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 5.751,\ p=0.0",,,PASS,1.0429857470429447,Perfectly normal
84,NL FB,It is easy to understand.,NONE,"F(7,35) = 1.321,\ p=0.27","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",NONE,"F(7,35) = 1.321,\ p=0.27",,,PASS,1.0,False
85,NL FB,It is distracting.,NONE,"F(7,35) = 1.572,\ p=0.176","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",NONE,"F(7,35) = 1.572,\ p=0.176",,,PASS,1.0000251106074134,Highly normal
86,NL FB,It is user-friendly.,NONE,"F(7,35) = 1.838,\ p=0.111","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",NONE,"F(7,35) = 1.838,\ p=0.111",,,PASS,1.0014162137681226,False
87,NL FB,Using it is effortless.,SESSION ONLY,"F(7,35) = 12.609,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",SESSION ONLY,"F(7,35) = 12.609,\ p=0.0",,,PASS,1.0,Normal
88,NL FB,Both occasional and Regular users would like it.,SESSION ONLY,"F(7,35) = 7.297,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",SESSION ONLY,"F(7,35) = 7.297,\ p=0.0",,,PASS,1.0000574213536013,False
89,NL FB,It is difficult to learn how to use.,NONE,"F(7,35) = 1.292,\ p=0.283","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",NONE,"F(7,35) = 1.292,\ p=0.283",,,PASS,1.0000000015421497,Highly normal
90,NL FB,It works the way I want it to work.,SESSION ONLY,"F(7,35) = 2.531,\ p=0.032","F(0,5) = nan,\ p=nan","F(0,35) = nan,\ p=nan",SESSION ONLY,"F(7,35) = 2.531,\ p=0.032",,,PASS,1.0139454738552272,Perfectly normal
91,NL FB,It is pleasant to use.,SESSION ONLY,"F(7,35) = 11.936,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",SESSION ONLY,"F(7,35) = 11.936,\ p=0.0",,,PASS,1.0,Normal
92,NL FB,TLX totals,SESSION ONLY,"F(7,35) = 8.122,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = inf,\ p=nan",SESSION ONLY,"F(7,35) = 8.122,\ p=0.0",,,PASS,0.9641754653885377,Perfectly normal
93,NL FB,Q totals,SESSION ONLY,"F(7,35) = 13.225,\ p=0.0","F(0,5) = nan,\ p=nan","F(0,35) = -inf,\ p=nan",SESSION ONLY,"F(7,35) = 13.225,\ p=0.0",,,PASS,1.0612324839607208,Perfectly normal
94,ADL FB,Cups,NONE,"F(2,8) = 0.931,\ p=0.433","F(0,4) = inf,\ p=nan","F(0,8) = inf,\ p=nan",NONE,,,,PASS,0.12019942803708686,Normal
95,ADL FB,Pegs,SESSION ONLY,"F(2,8) = 5.674,\ p=0.029","F(0,4) = nan,\ p=nan","F(0,8) = -inf,\ p=nan",SESSION ONLY,,,,PASS,0.2654704153629396,Perfectly normal
96,ADL FB,Pens,SESSION ONLY,"F(2,8) = 5.121,\ p=0.037","F(0,4) = nan,\ p=nan","F(0,8) = nan,\ p=nan",SESSION ONLY,,,,PASS,0.05769374454783948,Perfectly normal
