load,var,rm_sig,rm_session,rm_loading,rm_interaction,spher,spher_p,norm_res
COMB FB,TLX totals,HIGH,"F(1,4) = 3.583,\ p=0.131","F(1,4) = 18.65,\ p=0.012","F(1,4) = 3.628,\ p=0.13",PASS,1,Perfectly normal
COMB FB,Q totals,HIGH,"F(1,4) = 5.482,\ p=0.079","F(1,4) = 23.143,\ p=0.009","F(1,4) = 1.194,\ p=0.336",PASS,1,Perfectly normal
CL FB,P,SESSION ONLY,"F(1,4) = 5.935,\ p=0.072",,,PASS,1,Perfectly normal
CL FB,P_l,SESSION ONLY,"F(1,4) = 6.432,\ p=0.064",,,PASS,1,Perfectly normal
CL FB,P_h,SESSION ONLY,"F(1,4) = 9.56,\ p=0.037",,,PASS,1,Perfectly normal
CL FB,G,SESSION ONLY,"F(1,4) = 10.535,\ p=0.032",,,PASS,1,Perfectly normal
CL FB,G_l,SESSION ONLY,"F(1,4) = 10.912,\ p=0.03",,,PASS,1,Perfectly normal
CL FB,G_h,SESSION ONLY,"F(1,4) = 32.119,\ p=0.005",,,PASS,1,FALSE
CL FB,T,NONE,"F(1,4) = 1.869,\ p=0.243",,,PASS,1,FALSE
CL FB,T_l,NONE,"F(1,4) = 0.589,\ p=0.486",,,PASS,1,Perfectly normal
CL FB,T_h,NONE,"F(1,4) = 1.832,\ p=0.247",,,PASS,1,Perfectly normal
CL FB,F,NONE,"F(1,4) = 0.419,\ p=0.553",,,PASS,1,Perfectly normal
CL FB,F_l,NONE,"F(1,4) = 1.238,\ p=0.328",,,PASS,1,Perfectly normal
CL FB,F_h,NONE,"F(1,4) = 0.782,\ p=0.426",,,PASS,1,Perfectly normal
CL FB,grasps,SESSION ONLY,"F(1,4) = 11.838,\ p=0.026",,,PASS,1,Perfectly normal
CL FB,crushes,NONE,"F(1,4) = 4.482,\ p=0.102",,,PASS,1,Perfectly normal
CL FB,drops,NONE,"F(1,4) = 1.532,\ p=0.284",,,PASS,1,FALSE
CL FB,Mental Demand,SESSION ONLY,"F(1,4) = 6.541,\ p=0.063",,,PASS,1,Perfectly normal
CL FB,Physical Demand,NONE,"F(1,4) = 2.748,\ p=0.173",,,PASS,1,Perfectly normal
CL FB,Temporal Demand,NONE,"F(1,4) = 2.462,\ p=0.192",,,PASS,1,Perfectly normal
CL FB,Performance,SESSION ONLY,"F(1,4) = 4.808,\ p=0.093",,,PASS,1,Perfectly normal
CL FB,Effort,NONE,"F(1,4) = 3.273,\ p=0.145",,,PASS,1,Perfectly normal
CL FB,Frustration Level,NONE,"F(1,4) = 1.774,\ p=0.254",,,PASS,1,FALSE
CL FB,It is easy to understand.,NONE,"F(1,4) = 0.286,\ p=0.621",,,PASS,1,Perfectly normal
CL FB,It is distracting.,NONE,"F(1,4) = 4.261,\ p=0.108",,,PASS,1,Perfectly normal
CL FB,It is user-friendly.,NONE,"F(1,4) = 3.333,\ p=0.142",,,PASS,1,FALSE
CL FB,Using it is effortless.,NONE,"F(1,4) = 3.333,\ p=0.142",,,PASS,1,Perfectly normal
CL FB,Both occasional and Regular users would like it.,NONE,"F(1,4) = 2.667,\ p=0.178",,,PASS,1,FALSE
CL FB,It is difficult to learn how to use.,NONE,"F(1,4) = 2.25,\ p=0.208",,,PASS,1,FALSE
CL FB,It works the way I want it to work.,SESSION ONLY,"F(1,4) = 9.846,\ p=0.035",,,PASS,1,FALSE
CL FB,It is pleasant to use.,SESSION ONLY,"F(1,4) = 12.25,\ p=0.025",,,PASS,1,FALSE
CL FB,TLX totals,NONE,"F(1,4) = 3.767,\ p=0.124",,,PASS,1,Perfectly normal
CL FB,Q totals,SESSION ONLY,"F(1,4) = 4.824,\ p=0.093",,,PASS,1,Perfectly normal
NL FB,P,NONE,"F(1,4) = 2.312,\ p=0.203",,,PASS,1,Perfectly normal
NL FB,P_l,SESSION ONLY,"F(1,4) = 6.44,\ p=0.064",,,PASS,1,Perfectly normal
NL FB,P_h,NONE,"F(1,4) = 0.03,\ p=0.872",,,PASS,1,Perfectly normal
NL FB,G,SESSION ONLY,"F(1,4) = 6.413,\ p=0.065",,,PASS,1,Perfectly normal
NL FB,G_l,SESSION ONLY,"F(1,4) = 11.424,\ p=0.028",,,PASS,1,FALSE
NL FB,G_h,NONE,"F(1,4) = 0.838,\ p=0.412",,,PASS,1,Perfectly normal
NL FB,T,NONE,"F(1,4) = 0.001,\ p=0.977",,,PASS,1,Perfectly normal
NL FB,T_l,NONE,"F(1,4) = 0.937,\ p=0.388",,,PASS,1,Perfectly normal
NL FB,T_h,NONE,"F(1,4) = 1.496,\ p=0.288",,,PASS,1,Perfectly normal
NL FB,F,NONE,"F(1,4) = 4.051,\ p=0.114",,,PASS,1,Perfectly normal
NL FB,F_l,NONE,"F(1,4) = 0.065,\ p=0.812",,,PASS,1,Perfectly normal
NL FB,F_h,SESSION ONLY,"F(1,4) = 4.783,\ p=0.094",,,PASS,1,Perfectly normal
NL FB,grasps,SESSION ONLY,"F(1,4) = 26.722,\ p=0.007",,,PASS,1,Perfectly normal
NL FB,crushes,NONE,"F(1,4) = 2.641,\ p=0.179",,,PASS,1,FALSE
NL FB,drops,NONE,"F(1,4) = 0.0,\ p=1.0",,,PASS,1,Perfectly normal
NL FB,Mental Demand,SESSION ONLY,"F(1,4) = 6.698,\ p=0.061",,,PASS,1,FALSE
NL FB,Physical Demand,SESSION ONLY,"F(1,4) = 8.963,\ p=0.04",,,PASS,1,Perfectly normal
NL FB,Temporal Demand,NONE,"F(1,4) = 3.945,\ p=0.118",,,PASS,1,FALSE
NL FB,Performance,NONE,"F(1,4) = 1.041,\ p=0.365",,,PASS,1,Perfectly normal
NL FB,Effort,NONE,"F(1,4) = 0.33,\ p=0.596",,,PASS,1,Perfectly normal
NL FB,Frustration Level,NONE,"F(1,4) = 0.662,\ p=0.461",,,PASS,1,Perfectly normal
NL FB,It is easy to understand.,SESSION ONLY,"F(1,4) = 4.571,\ p=0.099",,,PASS,1,FALSE
NL FB,It is distracting.,SESSION ONLY,"F(1,4) = 4.571,\ p=0.099",,,PASS,1,FALSE
NL FB,It is user-friendly.,NONE,"F(1,4) = 2.667,\ p=0.178",,,PASS,1,FALSE
NL FB,Using it is effortless.,SESSION ONLY,"F(1,4) = 4.571,\ p=0.099",,,PASS,1,FALSE
NL FB,Both occasional and Regular users would like it.,SESSION ONLY,"F(1,4) = 6.0,\ p=0.07",,,PASS,1,FALSE
NL FB,It is difficult to learn how to use.,NONE,"F(1,4) = 0.783,\ p=0.426",,,PASS,1,FALSE
NL FB,It works the way I want it to work.,NONE,"F(1,4) = 1.385,\ p=0.305",,,PASS,1,FALSE
NL FB,It is pleasant to use.,NONE,"F(1,4) = 3.333,\ p=0.142",,,PASS,1,FALSE
NL FB,TLX totals,NONE,"F(1,4) = 2.935,\ p=0.162",,,PASS,1,Perfectly normal
NL FB,Q totals,SESSION ONLY,"F(1,4) = 5.01,\ p=0.089",,,PASS,1,Perfectly normal
ADL FB,Cups,NONE,,,,PASS,1,Perfectly normal
ADL FB,Pegs,NONE,,,,PASS,1,Perfectly normal
ADL FB,Pens,NONE,,,,PASS,1,Perfectly normal
